# step       rmse_trn   rmse_lc_trn   lr      
# If there is no available reference data, rmse_*_{val,trn} will print nan
      0      2.22e+01      7.01e-01    1.0e-03
    100      7.83e-01      2.48e-02    1.0e-03
    200      6.39e-01      2.02e-02    1.0e-03
    300      4.41e-01      1.40e-02    1.0e-03
    400      5.25e-01      1.66e-02    1.0e-03
    500      5.72e-01      1.81e-02    1.0e-03
    600      5.56e-01      1.76e-02    1.0e-03
    700      5.13e-01      1.62e-02    1.0e-03
    800      5.17e-01      1.64e-02    1.0e-03
    900      2.49e-01      7.88e-03    1.0e-03
   1000      3.84e-01      1.21e-02    1.0e-03
   1100      3.84e-01      1.21e-02    1.0e-03
   1200      5.00e-01      1.58e-02    1.0e-03
   1300      4.09e-01      1.29e-02    1.0e-03
   1400      5.14e-01      1.62e-02    1.0e-03
   1500      4.54e-01      1.44e-02    1.0e-03
   1600      6.53e-01      2.06e-02    1.0e-03
   1700      5.49e-01      1.74e-02    1.0e-03
   1800      4.28e-01      1.35e-02    1.0e-03
   1900      4.38e-01      1.38e-02    1.0e-03
   2000      4.75e-01      1.50e-02    1.0e-03
   2100      4.94e-01      1.56e-02    1.0e-03
   2200      3.28e-01      1.04e-02    1.0e-03
   2300      6.09e-01      1.93e-02    1.0e-03
   2400      1.04e+00      3.30e-02    1.0e-03
   2500      3.72e-01      1.18e-02    1.0e-03
   2600      3.66e-01      1.16e-02    1.0e-03
   2700      3.28e-01      1.04e-02    1.0e-03
   2800      4.07e-01      1.29e-02    1.0e-03
   2900      4.71e-01      1.49e-02    1.0e-03
   3000      3.92e-01      1.24e-02    1.0e-03
   3100      3.33e-01      1.05e-02    1.0e-03
   3200      3.81e-01      1.21e-02    1.0e-03
   3300      3.33e-01      1.05e-02    1.0e-03
   3400      7.46e-01      2.36e-02    1.0e-03
   3500      4.45e-01      1.41e-02    1.0e-03
   3600      1.05e+00      3.33e-02    1.0e-03
   3700      5.26e-01      1.66e-02    1.0e-03
   3800      4.22e-01      1.33e-02    1.0e-03
   3900      4.49e-01      1.42e-02    1.0e-03
   4000      2.82e-01      8.92e-03    1.0e-03
   4100      5.52e-01      1.75e-02    1.0e-03
   4200      3.95e-01      1.25e-02    1.0e-03
   4300      7.28e-01      2.30e-02    1.0e-03
   4400      4.04e-01      1.28e-02    1.0e-03
   4500      6.03e-01      1.91e-02    1.0e-03
   4600      2.77e-01      8.76e-03    1.0e-03
   4700      4.79e-01      1.51e-02    1.0e-03
   4800      9.31e-01      2.94e-02    1.0e-03
   4900      4.40e-01      1.39e-02    1.0e-03
   5000      3.60e-01      1.14e-02    9.7e-04
   5100      5.04e-01      1.60e-02    9.7e-04
   5200      3.58e-01      1.13e-02    9.7e-04
   5300      3.68e-01      1.16e-02    9.7e-04
   5400      5.82e-01      1.84e-02    9.7e-04
   5500      3.92e-01      1.24e-02    9.7e-04
   5600      4.08e-01      1.29e-02    9.7e-04
   5700      4.20e-01      1.33e-02    9.7e-04
   5800      3.80e-01      1.20e-02    9.7e-04
   5900      7.61e-01      2.41e-02    9.7e-04
   6000      4.58e-01      1.45e-02    9.7e-04
   6100      5.00e-01      1.58e-02    9.7e-04
   6200      3.58e-01      1.13e-02    9.7e-04
   6300      3.46e-01      1.10e-02    9.7e-04
   6400      9.11e-01      2.88e-02    9.7e-04
   6500      2.14e-01      6.78e-03    9.7e-04
   6600      2.86e-01      9.04e-03    9.7e-04
   6700      4.39e-01      1.39e-02    9.7e-04
   6800      3.44e-01      1.09e-02    9.7e-04
   6900      2.30e-01      7.26e-03    9.7e-04
   7000      3.60e-01      1.14e-02    9.7e-04
   7100      4.96e-01      1.57e-02    9.7e-04
   7200      3.55e-01      1.12e-02    9.7e-04
   7300      4.45e-01      1.41e-02    9.7e-04
   7400      2.54e-01      8.03e-03    9.7e-04
   7500      4.51e-01      1.43e-02    9.7e-04
   7600      5.37e-01      1.70e-02    9.7e-04
   7700      2.87e-01      9.08e-03    9.7e-04
   7800      2.02e-01      6.40e-03    9.7e-04
   7900      6.07e-01      1.92e-02    9.7e-04
   8000      3.64e-01      1.15e-02    9.7e-04
   8100      2.44e-01      7.72e-03    9.7e-04
   8200      2.85e-01      9.02e-03    9.7e-04
   8300      3.10e-01      9.80e-03    9.7e-04
   8400      3.32e-01      1.05e-02    9.7e-04
   8500      5.95e-01      1.88e-02    9.7e-04
