# step       rmse_trn    rmse_e_trn    rmse_f_trn   lr      
# If there is no available reference data, rmse_*_{val,trn} will print nan
      0      2.70e+01      1.69e+00      8.46e-01    1.0e-03
    100      2.63e+01      9.61e-02      8.32e-01    1.0e-03
    200      2.08e+01      5.17e-02      6.59e-01    1.0e-03
    300      7.99e+00      2.85e-02      2.53e-01    1.0e-03
    400      7.07e+00      5.00e-02      2.24e-01    1.0e-03
    500      1.24e+01      7.46e-02      3.92e-01    1.0e-03
    600      1.04e+01      1.55e-02      3.29e-01    1.0e-03
    700      1.01e+01      1.36e-01      3.18e-01    1.0e-03
    800      1.13e+01      5.73e-03      3.57e-01    1.0e-03
    900      3.19e+00      7.81e-02      1.01e-01    1.0e-03
   1000      3.92e+00      3.00e-03      1.24e-01    1.0e-03
   1100      6.17e+00      1.49e-02      1.95e-01    1.0e-03
   1200      3.50e+00      2.91e-02      1.11e-01    1.0e-03
   1300      3.38e+00      4.93e-03      1.07e-01    1.0e-03
   1400      4.21e+00      7.58e-03      1.33e-01    1.0e-03
   1500      3.81e+00      1.72e-03      1.21e-01    1.0e-03
   1600      2.46e+00      1.03e-02      7.79e-02    1.0e-03
   1700      2.74e+00      2.33e-02      8.67e-02    1.0e-03
   1800      2.76e+00      5.98e-03      8.72e-02    1.0e-03
   1900      2.79e+00      2.26e-02      8.83e-02    1.0e-03
   2000      2.39e+00      5.02e-02      7.54e-02    1.0e-03
   2100      2.63e+00      1.98e-02      8.30e-02    1.0e-03
   2200      2.37e+00      5.64e-02      7.47e-02    1.0e-03
   2300      2.19e+00      1.70e-02      6.92e-02    1.0e-03
   2400      2.39e+00      2.52e-02      7.57e-02    1.0e-03
   2500      4.32e+00      2.14e-02      1.36e-01    1.0e-03
   2600      4.20e+00      7.45e-04      1.33e-01    1.0e-03
   2700      2.06e+00      2.10e-02      6.51e-02    1.0e-03
   2800      2.91e+00      1.83e-02      9.19e-02    1.0e-03
   2900      2.56e+00      2.85e-03      8.09e-02    1.0e-03
   3000      1.91e+00      1.67e-02      6.04e-02    1.0e-03
   3100      1.91e+00      4.17e-03      6.03e-02    1.0e-03
   3200      2.15e+00      2.80e-03      6.79e-02    1.0e-03
   3300      3.02e+00      3.70e-02      9.55e-02    1.0e-03
   3400      2.10e+00      2.33e-03      6.63e-02    1.0e-03
   3500      4.48e+00      4.63e-04      1.42e-01    1.0e-03
   3600      1.88e+00      2.83e-02      5.95e-02    1.0e-03
   3700      1.87e+00      8.21e-03      5.91e-02    1.0e-03
   3800      2.09e+00      1.13e-02      6.60e-02    1.0e-03
   3900      2.44e+00      1.06e-02      7.72e-02    1.0e-03
   4000      2.50e+00      1.71e-02      7.89e-02    1.0e-03
   4100      2.67e+00      2.04e-02      8.46e-02    1.0e-03
   4200      1.99e+00      3.09e-02      6.28e-02    1.0e-03
   4300      3.22e+00      2.37e-02      1.02e-01    1.0e-03
   4400      2.08e+00      2.82e-02      6.58e-02    1.0e-03
   4500      2.52e+00      1.19e-03      7.98e-02    1.0e-03
   4600      1.95e+00      2.14e-02      6.16e-02    1.0e-03
   4700      3.82e+00      5.46e-03      1.21e-01    1.0e-03
   4800      1.38e+00      2.55e-02      4.36e-02    1.0e-03
