# step       rmse_trn   rmse_gl_trn   lr      
# If there is no available reference data, rmse_*_{val,trn} will print nan
      0      6.80e-01      4.90e-02    1.0e-03
    100      3.39e-01      2.44e-02    1.0e-03
    200      2.92e-01      2.11e-02    1.0e-03
    300      2.59e-01      1.87e-02    1.0e-03
    400      2.28e-01      1.64e-02    1.0e-03
    500      3.54e-01      2.55e-02    1.0e-03
    600      2.23e-01      1.61e-02    1.0e-03
    700      2.65e-01      1.91e-02    1.0e-03
    800      3.24e-01      2.34e-02    1.0e-03
    900      3.03e-01      2.19e-02    1.0e-03
   1000      2.35e-01      1.70e-02    1.0e-03
   1100      1.39e-01      1.00e-02    1.0e-03
   1200      3.84e-01      2.77e-02    1.0e-03
   1300      2.90e-01      2.09e-02    1.0e-03
   1400      2.24e-01      1.62e-02    1.0e-03
   1500      1.91e-01      1.38e-02    1.0e-03
   1600      2.36e-01      1.70e-02    1.0e-03
   1700      3.84e-01      2.77e-02    1.0e-03
   1800      2.05e-01      1.48e-02    1.0e-03
   1900      1.45e-01      1.05e-02    1.0e-03
   2000      2.14e-01      1.54e-02    1.0e-03
   2100      2.78e-01      2.01e-02    1.0e-03
   2200      2.33e-01      1.68e-02    1.0e-03
   2300      1.67e-01      1.20e-02    1.0e-03
   2400      2.10e-01      1.52e-02    1.0e-03
   2500      3.89e-01      2.81e-02    1.0e-03
   2600      2.53e-01      1.83e-02    1.0e-03
   2700      2.00e-01      1.45e-02    1.0e-03
   2800      2.14e-01      1.54e-02    1.0e-03
   2900      1.66e-01      1.20e-02    1.0e-03
   3000      3.20e-01      2.31e-02    1.0e-03
   3100      2.76e-01      1.99e-02    1.0e-03
   3200      2.32e-01      1.67e-02    1.0e-03
   3300      1.63e-01      1.18e-02    1.0e-03
   3400      1.50e-01      1.08e-02    1.0e-03
   3500      5.69e-02      4.10e-03    1.0e-03
   3600      1.46e-01      1.05e-02    1.0e-03
   3700      1.67e-01      1.20e-02    1.0e-03
   3800      1.62e-01      1.17e-02    1.0e-03
   3900      3.23e-01      2.33e-02    1.0e-03
   4000      1.64e-01      1.19e-02    1.0e-03
   4100      1.96e-01      1.41e-02    1.0e-03
   4200      2.16e-01      1.56e-02    1.0e-03
   4300      2.19e-01      1.58e-02    1.0e-03
   4400      1.50e-01      1.08e-02    1.0e-03
   4500      1.04e-01      7.51e-03    1.0e-03
   4600      1.53e-01      1.10e-02    1.0e-03
