PBE0, MBD correlation, PMBD correlation and GA results for Benzene-Ar (Cavity Frequency = 2.0 eV; coupling strength = 0.05 a.u.)
Distance Bz-Ar (A)                         E0 (PBE)                     MBD Correlation               PMBD corr (pol x)                PMBD corr (pol y)             PMBD corr (pol z)                  GA corr

2.000000000000000000e+00        -7.588902631696076924e+02       -8.851236630672332240e-03       1.256817194648363056e-02        1.256821231109483961e-02            1.137591188168762812e-02        2.927980968553081653e-02
2.080808080808080884e+00        -7.589157052903117346e+02       -8.860491320712426955e-03       1.252864173901357958e-02        1.252868189632572182e-02            1.138526089227376303e-02        2.931797410190098777e-02
2.161616161616161769e+00        -7.589362343724064885e+02       -8.868947499266255363e-03       1.249860179492934265e-02        1.249864134967637597e-02            1.140163740163124828e-02        2.935255980321165373e-02
2.242424242424242209e+00        -7.589526918294714051e+02       -8.874864725946451927e-03       1.247791340407111704e-02        1.247795217928704403e-02            1.142471183870874540e-02        2.938292037608812232e-02
2.323232323232323093e+00        -7.589657967864307011e+02       -8.876631403344603655e-03       1.246660945627198203e-02        1.246664753787030122e-02            1.145427105760710162e-02        2.940865652612119352e-02
2.404040404040403978e+00        -7.589761603553710074e+02       -8.872798502224554795e-03       1.246485658414897557e-02        1.246489421938257180e-02            1.149020108210407898e-02        2.942956280967522209e-02
2.484848484848484862e+00        -7.589843001343083415e+02       -8.862115859585628641e-03       1.247288647867073053e-02        1.247292393293442103e-02            1.153243936323811170e-02        2.944560806014261470e-02
2.565656565656565746e+00        -7.589906505341318734e+02       -8.843567100257132552e-03       1.249091229007071036e-02        1.249094965963415405e-02            1.158091360911761569e-02        2.945693403883594894e-02
2.646464646464646631e+00        -7.589955718363544293e+02       -8.816405360624557375e-03       1.251904557918415151e-02        1.251908271336077405e-02            1.163547820342536454e-02        2.946379595553043351e-02
2.727272727272727515e+00        -7.589993588074202080e+02       -8.780181671047770919e-03       1.255723115115436883e-02        1.255726768502718471e-02            1.169586778594400300e-02        2.946655900400767247e-02
2.808080808080807955e+00        -7.590022496192246990e+02       -8.734767592489589561e-03       1.260521480869059019e-02        1.260525035440807073e-02            1.176167960877272378e-02        2.946563489723567908e-02
2.888888888888888840e+00        -7.590044355253517097e+02       -8.680362578456168876e-03       1.266251626603498437e-02        1.266255061286258865e-02            1.183235750365518868e-02        2.946147762058892380e-02
2.969696969696969724e+00        -7.590060694607836922e+02       -8.617484703298927684e-03       1.272842979047084100e-02        1.272846297065832744e-02            1.190720012557022756e-02        2.945459127534594962e-02
3.050505050505050608e+00        -7.590072738977798963e+02       -8.546943450959076927e-03       1.280203770535948138e-02        1.280206995276778059e-02            1.198537623397477603e-02        2.944545609996414640e-02
3.131313131313131493e+00        -7.590081471539597260e+02       -8.469791460955278239e-03       1.288223156719325857e-02        1.288226315739215977e-02            1.206594417825535004e-02        2.943453345446579716e-02
3.212121212121211933e+00        -7.590087677749642125e+02       -8.387263959667379254e-03       1.296775723415422021e-02        1.296778843528123559e-02            1.214789019405060344e-02        2.942230659765296061e-02
3.292929292929293261e+00        -7.590091983699354614e+02       -8.300708203954343389e-03       1.305726363361081610e-02        1.305729466442961950e-02            1.223016633604601111e-02        2.940917721833917822e-02
3.373737373737373701e+00        -7.590094884820666721e+02       -8.211509637375158377e-03       1.314935959960195078e-02        1.314939065413689434e-02            1.231173473096447424e-02        2.939544803286374408e-02
3.454545454545454586e+00        -7.590096763072618842e+02       -8.121025467845655044e-03       1.324267805448364754e-02        1.324270933547921913e-02            1.239161574415348355e-02        2.938147614151484510e-02
