PBE0, MBD correlation, PMBD correlation and GA results for water dimer (Cavity Frequency = 2.0 eV; coupling strength = 0.05 a.u.)
Distance O-H (A)                         E0 (PBE)                     MBD Correlation               PMBD corr (pol x)                PMBD corr (pol y)             PMBD corr (pol z)                  GA corr



9.619999999999999662e-01        -1.525989911476834209e+02       -1.113104489046001788e-03       5.745438103596178792e-03        5.746008470798535939e-03        6.052282388495200394e-03        8.863013292444033714e-03
1.017555555555555546e+00        -1.526281922073072224e+02       -1.102357009497900719e-03       5.685868046469089165e-03        5.686922283533846212e-03        5.992647171813025864e-03        8.882977348505276954e-03
1.073111111111111127e+00        -1.526509194599453849e+02       -1.094210647411664183e-03       5.619289239585434359e-03        5.620859951400269949e-03        5.925429012146210539e-03        8.901726454176007997e-03
1.128666666666666707e+00        -1.526686835132567523e+02       -1.088427661791513401e-03       5.550960114216074714e-03        5.553046407510642268e-03        5.856183379183477200e-03        8.919022032490805593e-03
1.184222222222222065e+00        -1.526826057164127235e+02       -1.084559974747101307e-03       5.485126459816136446e-03        5.487710310426052729e-03        5.789371358155825931e-03        8.934699710156260993e-03
1.239777777777777867e+00        -1.526935291988554582e+02       -1.082037817327297091e-03       5.424744350007060234e-03        5.427794428998211629e-03        5.728065416844785318e-03        8.948670453114180440e-03
1.295333333333333226e+00        -1.527020945230552798e+02       -1.080258615251850074e-03       5.371529194158064513e-03        5.375006504838353294e-03        5.674015809952415168e-03        8.960910659512388160e-03
1.350888888888888806e+00        -1.527087926063098848e+02       -1.078654591129435403e-03       5.326199491237026962e-03        5.330061836504640382e-03        5.627918119189168067e-03        8.971450798911309241e-03
1.406444444444444386e+00        -1.527140030932167178e+02       -1.076732215570253004e-03       5.288777649498754840e-03        5.292982782397537278e-03        5.589737965804530972e-03        8.980363223320833935e-03
1.461999999999999966e+00        -1.527180228775330022e+02       -1.074087665152489990e-03       5.258862916032391865e-03        5.263370537508471614e-03        5.559003193604361570e-03        8.987749840516614380e-03
1.517555555555555546e+00        -1.527210874221827908e+02       -1.070406817158975343e-03       5.235839379380102798e-03        5.240612292603863409e-03        5.535025164077111981e-03        8.993729874342345706e-03
1.573111111111110905e+00        -1.527233861690178855e+02       -1.065458718035650065e-03       5.219023472593953272e-03        5.224028109809708553e-03        5.517054762897544151e-03        8.998436151582942660e-03
1.628666666666666707e+00        -1.527250733009754811e+02       -1.059083309668196193e-03       5.207705664708406346e-03        5.212912550765835817e-03        5.504325917205399321e-03        9.001976116921554111e-03
1.684222222222222065e+00        -1.527262749970571178e+02       -1.051188389900481468e-03       5.201248735031249737e-03        5.206632303809577422e-03        5.496158840969656012e-03        9.004472034714607401e-03
1.739777777777777645e+00        -1.527270944538617243e+02       -1.041739796715290822e-03       5.199059486095336524e-03        5.204598044358910158e-03        5.491929415596175090e-03        9.006025685341772016e-03
1.795333333333333226e+00        -1.527276156973772743e+02       -1.030756707795177363e-03       5.200598739754092037e-03        5.206274256959630975e-03        5.491079074045224218e-03        9.006726270694423095e-03
1.850888888888888806e+00        -1.527279066212566363e+02       -1.018305819933118528e-03       5.205375496657893564e-03        5.211173309362493455e-03        5.493107843213884678e-03        9.006651126338411154e-03
