PBE0+PMBD total energy for Ar dimer (Cavity Frequency = 2.0 eV; coupling strength = 0.09 a.u.)
Distance Ar-Ar (A)                      Outside                           Pol x                         Pol y                          Pol z               

3.000000000000000000e+00         3.692884559999498606e-03        3.370714528938112409e-03        3.370714526005347267e-03       4.246510844324813405e-03
3.049999999999999822e+00         2.885892617545238181e-03        2.567791480697412254e-03        2.567791420011733550e-03       3.448114151580750075e-03
3.100000000000000089e+00         2.222454744018165229e-03        1.908629586961030355e-03        1.908629593123212231e-03       2.792262964987468621e-03
3.149999999999999911e+00         1.678723273247584302e-03        1.369329117534068274e-03        1.369329132791197168e-03       2.254999249600597722e-03
3.200000000000000178e+00         1.234636263465205275e-03        9.297878607239518090e-04        9.297878359633138245e-04       1.816177618195080612e-03
3.250000000000000000e+00         8.733416100348279087e-04        5.731231283161442036e-04        5.731230485310767619e-04       1.458887726641489024e-03
3.299999999999999822e+00         5.807057107212187930e-04        2.851787241806569284e-04        2.851787310249598306e-04       1.168961735231288657e-03
3.350000000000000089e+00         3.448958157186154949e-04        5.410620313428537997e-05        5.410620133838861534e-05       9.345552826398595414e-04
3.399999999999999911e+00         1.560269618074983100e-04       -1.299902421751930603e-04       -1.299902614788628341e-04       7.457923846341252272e-04
3.450000000000000178e+00         5.862785432242390016e-06       -2.753534081594288807e-04       -2.753534317831984879e-04       5.944647905944400179e-04
3.500000000000000000e+00        -1.124419593416803309e-04       -3.888318003819613011e-04       -3.888318071800789255e-04       4.737718723499817486e-04
3.549999999999999822e+00        -2.045644148402914198e-04       -4.761036391474071650e-04       -4.761036789147077286e-04       3.780957873114054735e-04
3.600000000000000089e+00        -2.751974063777140600e-04       -5.418615371755031163e-04       -5.418615855830033468e-04       3.028145900425549542e-04
3.649999999999999911e+00        -3.282134414313020443e-04       -5.899771333761627545e-04       -5.899771426753908088e-04       2.441361335168146240e-04
3.700000000000000178e+00        -3.668090594111106384e-04       -6.236462936786146827e-04       -6.236463052515794914e-04       1.989508558035701924e-04
3.750000000000000000e+00        -3.936136235971332553e-04       -6.454984866368640439e-04       -6.454985248125488795e-04       1.647202189469787470e-04
3.799999999999999822e+00        -4.107994211572929544e-04       -6.577246945371761910e-04       -6.577246838275208063e-04       1.393467558155059294e-04
3.850000000000000089e+00        -4.201623321442582437e-04       -6.620880979144594392e-04       -6.620880687875363435e-04       1.211639346929693772e-04
3.899999999999999911e+00        -4.231875777769289471e-04       -6.600966840042410411e-04       -6.600967046721528675e-04       1.087578423830670715e-04
