PBE0, MBD correlation, PMBD correlation and GA results for Ar dimer (Cavity Frequency = 2.0 eV; coupling strength = 0.05 a.u.)
Distance Ar-Ar (A)                         E0 (PBE)                     MBD Correlation               PMBD corr (pol x)                PMBD corr (pol y)             PMBD corr (pol z)                  GA corr

1.000000000000000000e+00        -1.050727667362629290e+03       -4.547267431296297957e-04       1.065915854493404424e-02            1.065915853620147402e-02        1.107685341752207009e-02        1.229027445242795655e-02
1.070707070707070718e+00        -1.051684741575082626e+03       -3.985907830075241520e-04       1.107883567402856428e-02            1.107883567697820482e-02        1.148095859166309296e-02        1.236456857658843091e-02
1.141414141414141437e+00        -1.052363729557559509e+03       -3.576639895799260671e-04       1.154821975324704653e-02            1.154821975748543395e-02        1.194248245514417661e-02        1.248692433606805874e-02
1.212121212121212155e+00        -1.052842297129492863e+03       -3.264568374365950376e-04       1.204538146099398688e-02            1.204538146954581279e-02        1.243659519315487572e-02        1.264239918538721981e-02
1.282828282828282873e+00        -1.053156233289048487e+03       -3.445783970774662919e-04       1.556134763495720108e-02            1.556134764031158468e-02        1.607375306888592092e-02        1.287732637341613799e-02
1.353535353535353591e+00        -1.053458764307271622e+03       -2.930267278156151178e-04       1.402068967712599701e-02            1.402068967330505345e-02        1.444896334939205218e-02        1.238060261833624602e-02
1.424242424242424310e+00        -1.053699347143185605e+03       -2.540167473026322398e-04       1.241397875950811525e-02            1.241397875391925254e-02        1.277147923727151024e-02        1.191903502590686663e-02
1.494949494949494806e+00        -1.053894657684711774e+03       -2.267928934451823864e-04       1.103729416874488223e-02            1.103729417383281231e-02        1.134231886099001940e-02        1.157132762031028335e-02
1.565656565656565746e+00        -1.054054895508374557e+03       -2.096786492247204592e-04       1.005200687166407647e-02            1.005200687685814387e-02        1.032289713236389517e-02        1.136388938204087144e-02
1.636363636363636243e+00        -1.054186648432857282e+03       -1.999129264902421710e-04       9.424082842235392832e-03            9.424082848653814182e-03        9.674751468673026267e-03        1.126603805677125168e-02
1.707070707070707183e+00        -1.054294714812893972e+03       -1.949998464434443690e-04       9.041728322280562224e-03            9.041728319792774471e-03        9.281103677505342375e-03        1.123405269548101437e-02
1.777777777777777679e+00        -1.054382957986366591e+03       -1.933368001409974113e-04       8.807207394585070404e-03            8.807207401877903408e-03        9.040681108673620514e-03        1.123612622811755515e-02
1.848484848484848397e+00        -1.054454648641532458e+03       -1.940363969845648739e-04       8.657884754315059439e-03            8.657884757393041752e-03        8.888769863923506875e-03        1.125395103860656575e-02
1.919191919191919116e+00        -1.054512598950097754e+03       -1.966105161259612544e-04       8.558063049366015917e-03            8.558063042997332559e-03        8.788524768398975340e-03        1.127791455881146064e-02
1.989898989898989834e+00        -1.054559224221929071e+03       -2.007650618196521464e-04       8.487999262559942082e-03            8.487999274681357065e-03        8.719559365176987598e-03        1.130313266152373729e-02
2.060606060606060552e+00        -1.054596581550268183e+03       -2.062960133879521152e-04       8.436579838511981677e-03            8.436579853127845752e-03        8.670374112766054964e-03        1.132714614522324983e-02
2.131313131313131493e+00        -1.054626403614380024e+03       -2.130390315908670118e-04       8.397358236975627221e-03            8.397358227604456715e-03        8.634268243717713176e-03        1.134877759766039079e-02
2.202020202020201989e+00        -1.054650133239129218e+03       -2.208443148146166379e-04       8.366405902436202524e-03            8.366405900580353716e-03        8.607125874761312190e-03        1.136751081918107621e-02
2.272727272727272485e+00        -1.054668959265954072e+03       -2.295623208352637334e-04       8.341230554501422034e-03            8.341230560636514468e-03        8.586302050979988110e-03        1.138319271625374586e-02
2.343434343434343425e+00        -1.054683852554970599e+03       -2.390347761567213070e-04       8.320196540901658722e-03            8.320196546791613912e-03        8.570026009917075527e-03        1.139587242151639257e-02
2.414141414141414366e+00        -1.054695600575560093e+03       -2.490885931201169967e-04       8.302209269093197008e-03            8.302209284601236305e-03        8.557076534161378589e-03        1.140571308204151556e-02
2.484848484848484862e+00        -1.054704839167758564e+03       -2.595318961797765667e-04       8.286537149961858972e-03            8.286537149982287076e-03        8.546598904182634016e-03        1.141294138959935388e-02
2.555555555555555358e+00        -1.054712080432078210e+03       -2.701520424217562777e-04       8.272706031115184544e-03            8.272706030460597049e-03        8.537997004017583436e-03        1.141781646290505360e-02
2.626262626262626299e+00        -1.054717736237442068e+03       -2.807157986581820808e-04       8.260432316990584667e-03            8.260432319471711082e-03        8.530865461651604420e-03        1.142060944533026742e-02
2.696969696969696795e+00        -1.054722137427218286e+03       -2.909719053731940619e-04       8.249576517923351560e-03            8.249576505265920900e-03        8.524943694866227162e-03        1.142158925211159137e-02
2.767676767676767291e+00        -1.054725549245840966e+03       -3.006561741254465403e-04       8.240107677055963364e-03            8.240107677177199719e-03        8.520081606402829522e-03        1.142101276255834581e-02
2.838383838383838231e+00        -1.054728183721381129e+03       -3.094990841328026931e-04       8.232073421198915497e-03            8.232073422497876436e-03        8.516211763995418238e-03        1.141911822637219770e-02
2.909090909090909172e+00        -1.054730209704629488e+03       -3.172355802876225539e-04       8.225573233229699355e-03            8.225573228276328308e-03        8.513325242525571213e-03        1.141612147081984448e-02
2.979797979797979668e+00        -1.054731761108017281e+03       -3.236164822415510400e-04       8.220733817185355008e-03            8.220733825600401445e-03        8.511450146138521688e-03        1.141221451727366352e-02
3.050505050505050608e+00        -1.054732943712800306e+03       -3.284206272180512087e-04       8.217686637006949013e-03            8.217686653087419302e-03        8.510632100781290177e-03        1.140756594709412507e-02
3.121212121212121104e+00        -1.054733840780382479e+03       -3.314666588405401626e-04       8.216548130213663370e-03            8.216548117534028250e-03        8.510917501491466197e-03        1.140232261800107685e-02
3.191919191919192045e+00        -1.054734517635599332e+03       -3.326232853604338402e-04       8.217403306809423214e-03            8.217403296463032802e-03        8.512339739705776509e-03        1.139661230358255187e-02
3.262626262626262541e+00        -1.054735025366798482e+03       -3.318169005548377015e-04       8.220293572029024887e-03            8.220293568490966152e-03        8.514908610067539740e-03        1.139054682724375753e-02
3.333333333333333037e+00        -1.054735403783129868e+03       -3.290356989062992454e-04       8.225209184304027588e-03            8.225209176703884850e-03        8.518603901165544556e-03        1.138422531594292068e-02
3.404040404040403978e+00        -1.054735683765748945e+03       -3.243297913533282895e-04       8.232086507356850547e-03            8.232086507892422134e-03        8.523372494625647278e-03        1.137773723499004713e-02
3.474747474747474474e+00        -1.054735889138668199e+03       -3.178072857648039928e-04       8.240809766709045192e-03            8.240809760848843979e-03        8.529129005734326086e-03        1.137116492097217657e-02
3.545454545454545414e+00        -1.054736038165848413e+03       -3.096267601487845411e-04       8.251216659758142669e-03            8.251216669356686850e-03        8.535759544852083991e-03        1.136458538692056326e-02
3.616161616161615910e+00        -1.054736144757909642e+03       -2.999869551012501745e-04       8.263107175034978269e-03            8.263107186218920930e-03        8.543127397711014481e-03        1.135807126956048588e-02
3.686868686868686851e+00        -1.054736219448996280e+03       -2.891147552070982840e-04       8.276253947964828939e-03            8.276253934659472122e-03        8.551080409509026481e-03        1.135169089918541992e-02
3.757575757575757347e+00        -1.054736270185904232e+03       -2.772526338152836445e-04       8.290413593103007628e-03            8.290413589211453882e-03        8.559458547543030704e-03        1.134550759509373938e-02
3.828282828282828287e+00        -1.054736302958764554e+03       -2.646465013071974681e-04       8.305332608288473750e-03            8.305332604225501569e-03        8.568096055419527346e-03        1.133957512429130399e-02
3.898989898989898784e+00        -1.054736322295555738e+03       -2.515357273762397483e-04       8.320778728502009614e-03            8.320778712550325196e-03        8.576850396119439779e-03        1.133394968464454533e-02
3.969696969696969724e+00        -1.054736331640099252e+03       -2.381436641822887168e-04       8.336516188803599903e-03            8.336516181835396111e-03        8.585573251787437243e-03        1.132866768259919651e-02
4.040404040404039776e+00        -1.054736333633799404e+03       -2.246719902068150532e-04       8.352334543524353450e-03            8.352334543047845727e-03        8.594137742810925573e-03        1.132375865280277685e-02
4.111111111111110716e+00        -1.054736330320376737e+03       -2.112965950575862450e-04       8.368047233313635758e-03            8.368047237513831504e-03        8.602435177287315327e-03        1.131924111253078055e-02
4.181818181818181657e+00        -1.054736323293216174e+03       -1.981657192997587913e-04       8.383494244033062870e-03            8.383494241948064030e-03        8.610376329239777249e-03        1.131512263579151356e-02
4.252525252525252597e+00        -1.054736313798663105e+03       -1.853998453404948066e-04       8.398543102203781530e-03            8.398543108101730326e-03        8.617891745984262997e-03        1.131140081927853314e-02
4.323232323232323537e+00        -1.054736302803769377e+03       -1.730929257708346825e-04       8.413088280366132210e-03            8.413088277197999787e-03        8.624930907079608744e-03        1.130806450932905598e-02
4.393939393939393590e+00        -1.054736291049693591e+03       -1.613145615979583170e-04       8.427049984767176483e-03            8.427049980571865717e-03        8.631461065908396790e-03        1.130509523643828847e-02
4.464646464646464530e+00        -1.054736279094841848e+03       -1.501127446208450067e-04       8.440372089242753617e-03            8.440372090924519455e-03        8.637465503470664885e-03        1.130247006397718142e-02
4.535353535353534582e+00        -1.054736267345272836e+03       -1.395168366409293981e-04       8.453018645171006540e-03            8.453018644938747883e-03        8.642940558098555215e-03        1.130016169460332058e-02
4.606060606060605522e+00        -1.054736256079677105e+03       -1.295406423262868145e-04       8.464972445588969663e-03            8.464972439131912552e-03        8.647894850360771102e-03        1.129814172987378407e-02
4.676767676767676463e+00        -1.054736245471831580e+03       -1.201852689440841004e-04       8.476230820453789505e-03            8.476230821401031790e-03        8.652345689756479885e-03        1.129638217144620337e-02
4.747474747474747403e+00        -1.054736235632251464e+03       -1.114417817640322994e-04       8.486802803577386811e-03            8.486802801757953318e-03        8.656316969836375108e-03        1.129485333180848400e-02
4.818181818181818343e+00        -1.054736226590584920e+03       -1.032935971325699143e-04       8.496708322762280829e-03            8.496708323761037462e-03        8.659839056576856819e-03        1.129353107560050057e-02
4.888888888888889284e+00        -1.054736218355194524e+03       -9.571839768840462170e-05       8.505970774165483306e-03            8.505970765862791438e-03        8.662941965776660425e-03        1.129238743802257229e-02
4.959595959595959336e+00        -1.054736210888075675e+03       -8.869002139277881724e-05       8.514623417978928188e-03            8.514623412771538113e-03        8.665662445556776561e-03        1.129140350688195155e-02
5.030303030303030276e+00        -1.054736204146970977e+03       -8.217963451162546562e-05       8.522696404540397452e-03            8.522696402275986571e-03        8.668031349362337323e-03        1.129055625657286385e-02
5.101010101010101216e+00        -1.054736198085238584e+03       -7.615707514485592355e-05       8.530225905396093822e-03            8.530225909838762277e-03        8.670083493151903298e-03        1.128982723000739735e-02
5.171717171717171269e+00        -1.054736192625991407e+03       -7.059162510847372118e-05       8.537247015424576091e-03            8.537247027108119113e-03        8.671850800753055921e-03        1.128920460274887745e-02
5.242424242424242209e+00        -1.054736187755470837e+03       -6.545268635260725887e-05       8.543791721983051701e-03            8.543791719475279933e-03        8.673360678112196354e-03        1.128866611065160522e-02
5.313131313131313149e+00        -1.054736183371000379e+03       -6.071041281785483079e-05       8.549896109826260471e-03            8.549896121200273313e-03        8.674643704050577497e-03        1.128820937775241486e-02
5.383838383838384090e+00        -1.054736179479338716e+03       -5.633590786047193433e-05       8.555588325797280902e-03            8.555588314277606798e-03        8.675721545294834414e-03        1.128781337214058815e-02
5.454545454545454142e+00        -1.054736175987614160e+03       -5.230165521252772010e-05       8.560900710990804185e-03            8.560900714419172886e-03        8.676619696921239466e-03        1.128747720936000044e-02
5.525252525252525082e+00        -1.054736172897894448e+03       -4.858153468445536305e-05       8.565858661611525093e-03            8.565858660961378490e-03        8.677356105259548258e-03        1.128718629287430927e-02
5.595959595959596022e+00        -1.054736170141919274e+03       -4.515102854396602083e-05       8.570489747376175416e-03            8.570489742327769278e-03        8.677950930964239973e-03        1.128693758694634952e-02
5.666666666666666075e+00        -1.054736167710289465e+03       -4.198716843539784804e-05       8.574816033581900143e-03            8.574816036001298158e-03        8.678418518227815071e-03        1.128672265897195763e-02
5.737373737373737015e+00        -1.054736165560196923e+03       -3.906860884494989250e-05       8.578861429163087138e-03            8.578861405697857379e-03        8.678775178746711561e-03        1.128653727005291332e-02
5.808080808080807955e+00        -1.054736163665029380e+03       -3.637551841917385786e-05       8.582644378225978699e-03            8.582644371472269995e-03        8.679031798525915775e-03        1.128637661913492289e-02
5.878787878787878896e+00        -1.054736162004010112e+03       -3.388959542860447982e-05       8.586185621180852934e-03            8.586185620933495244e-03        8.679201753566623267e-03        1.128623681280879754e-02
5.949494949494948948e+00        -1.054736160548424550e+03       -3.159393121610065691e-05       8.589500721958742702e-03            8.589500737093302973e-03        8.679293382499508880e-03        1.128611475303650628e-02
6.020202020202019888e+00        -1.054736159272446230e+03       -2.947298998590142105e-05       8.592607340750291200e-03            8.592607353896219990e-03        8.679317329137514747e-03        1.128600759372540632e-02
6.090909090909090828e+00        -1.054736158163305390e+03       -2.751247678878243619e-05       8.595519087274627879e-03            8.595519089960035330e-03        8.679280480880624538e-03        1.128591298128994377e-02
6.161616161616161769e+00        -1.054736157197882221e+03       -2.569928761309014931e-05       8.598250459516343369e-03            8.598250452948263955e-03        8.679190863463137617e-03        1.128582917410482153e-02
6.232323232323231821e+00        -1.054736156356283800e+03       -2.402140321278167789e-05       8.600813856977307381e-03            8.600813865884848752e-03        8.679054680209574713e-03        1.128575420454670623e-02
6.303030303030302761e+00        -1.054736155620569207e+03       -2.246781516301865622e-05       8.603220875742501050e-03            8.603220886903351072e-03        8.678877549400443314e-03        1.128568719348457469e-02
6.373737373737373701e+00        -1.054736154992045613e+03       -2.102844957008187521e-05       8.605483024404225745e-03            8.605483020452275866e-03        8.678665358354820114e-03        1.128562645641530832e-02
6.444444444444444642e+00        -1.054736154441262670e+03       -1.969407960933367008e-05       8.607609377532465800e-03            8.607609379854608278e-03        8.678421744185094155e-03        1.128557168796618174e-02
6.515151515151514694e+00        -1.054736153957411261e+03       -1.845627409657879525e-05       8.609610509656917543e-03            8.609610505771581046e-03        8.678152187818977126e-03        1.128552148861965143e-02
6.585858585858585634e+00        -1.054736153537701284e+03       -1.730730856630557923e-05       8.611493684054227771e-03            8.611493689125726547e-03        8.677859045081337541e-03        1.128547578808471175e-02
6.656565656565656575e+00        -1.054736153183380566e+03       -1.624012761292092932e-05       8.613268201320245510e-03            8.613268199731294317e-03        8.677547008611785628e-03        1.128543358380892925e-02
6.727272727272726627e+00        -1.054736152869730631e+03       -1.524826690246783301e-05       8.614940420751615591e-03            8.614940424002792696e-03        8.677218071353465234e-03        1.128539477265207841e-02
6.797979797979797567e+00        -1.054736152584559250e+03       -1.432581706817259715e-05       8.616517790075217675e-03            8.616517792444433610e-03        8.676875463877742334e-03        1.128535879557175832e-02
6.868686868686868507e+00        -1.054736152339561613e+03       -1.346736663876413331e-05       8.618006581381454367e-03            8.618006578883896651e-03        8.676521575152307264e-03        1.128532538380297955e-02
6.939393939393939448e+00        -1.054736152138061470e+03       -1.266795982646229390e-05       8.619412281217542215e-03            8.619412284166294569e-03        8.676158123797073074e-03        1.128529438478499507e-02
7.010101010101009500e+00        -1.054736151962047416e+03       -1.192306026309708500e-05       8.620740947217431227e-03            8.620740946480687228e-03        8.675787647481669751e-03        1.128526542058694293e-02
7.080808080808080440e+00        -1.054736151791596740e+03       -1.122850740165048933e-05       8.621996959858435616e-03            8.621996962653089014e-03        8.675411184742909398e-03        1.128523846868752234e-02
7.151515151515151381e+00        -1.054736151635595661e+03       -1.058048985624893135e-05       8.623185388327847534e-03            8.623185394331933651e-03        8.675030644782033562e-03        1.128521323297023912e-02
7.222222222222222321e+00        -1.054736151512087645e+03       -9.975510476323279363e-06       8.624310484084851680e-03            8.624310486520680996e-03        8.674647259002910005e-03        1.128518963919790917e-02
7.292929292929292373e+00        -1.054736151418317149e+03       -9.410359655959155134e-06       8.625376042296739598e-03            8.625376044734345271e-03        8.674261981646669284e-03        1.128516762147933894e-02
7.363636363636363313e+00        -1.054736151331385145e+03       -8.882091492079524642e-06       8.626386072519753867e-03            8.626386069638947163e-03        8.673876177763162332e-03        1.128514697893409809e-02
7.434343434343434254e+00        -1.054736151234849785e+03       -8.387998470471558221e-06       8.627343801257847389e-03            8.627343799999742657e-03        8.673490487561608120e-03        1.128512768784488245e-02
7.505050505050505194e+00        -1.054736151139936055e+03       -7.925592278468229779e-06       8.628252448815931785e-03            8.628252439309314070e-03        8.673105757419197204e-03        1.128510964566463437e-02
